Artikel	Bolag	"Adr klass"	RID-S-klassificering	Klassificeringskod	Packningsgrupp	Packningsinstruktioner	"Särskilda Packningsföreskrifter"	"Särskilda Packningsinslag"	"Särskilda Föreskrifter"	Tunnelbegränsningar	"Un nummer"	Transportnamn	Varningsetikett	Miljörisk	"Föreskrift för begränsad mängd"	"Föreskrift för minskad mängd"	Flampunkt	Lastningskoder	Användarinstruktioner	Farokod	Säkerhetsbroschyr	"Länk till säkerhetsbroschyr"	IMDG-KOD	ICAO-TI	"Minsta temperatur"	Hållbarhetstid	Temperaturkänslighet	"Vikt netto"	"Volym (L)"	"Farligt gods nivå"
1003321	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003322	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003376	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003404	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003409	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003411	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003413	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003415	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003417	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003430	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003482	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003487	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003835	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003836	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003837	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1004638	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1004643	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1004913	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1004914	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1004934	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1004935	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1004936	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1004976	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005021	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005023	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005024	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005026	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005027	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005030	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005031	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005047	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005048	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005065	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1005072	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1006660	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1007552	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
