artikelnummer,max,pallid
12464ABR-120-13-R,6.0,2460619
12464ABR-120-14-R,4.0,999118983
12464ABR-120-7-R,6.0,2577140
12464ABR-120-7.5-R,6.0,2460811
12464ABR-120-8-R,6.0,2460784
12464ABR-120-8.5-R,6.0,2460800
12464ABR-120-9-R,6.0,2440965
12464ABR-120-9.5-R,6.0,2600800
12466-019-10-R,7.0,999124744
12466-019-10.5-R,13.0,749944
12466-019-11-R,7.0,999124760
12466-019-13-R,5.0,999124850
12466-019-14-R,4.0,4097411
12466-019-15-R,1.0,999124876
12466-019-7-R,4.0,999118982
12466-019-7.5-R,6.0,2885939
12466-019-8.5-R,7.0,1856578
12466-019-9-R,9.0,999124011
12467-019-11.5-R,4.0,1865931
12467-019-14-R,1.0,999124708
12467-019-5-R,6.0,999118976
12467-019-9-R,1.0,3975066
12468-019-8-R,6.0,999118991
12469-019-7-R,3.0,1937094
12470-007-10-R,6.0,3897213
12470-007-10.5-R,6.0,2858906
12470-007-11-R,6.0,2858903
12470-007-7.5-R,6.0,2858924
12470-1066-10-R,8.0,999124717
12470-1066-10.5-R,6.0,3987116
12470-1066-11-R,4.0,999124730
12470-1066-6.5-R,3.0,1937095
12470-1067-10.5-R,6.0,2711659
12471-007-10.5-R,36.0,1792506
12471-007-7.5-R,4.0,2870111
12471CST-389-10-R,6.0,3010259
12471CST-389-10.5-R,6.0,3010256
12471CST-389-11-R,6.0,3010249
12471CST-389-11.5-R,6.0,3010240
12471CST-389-12-R,6.0,3010248
12471CST-389-7-R,6.0,3010469
12471CST-389-7.5-R,6.0,3010241
12471CST-389-8-R,6.0,3010255
12471CST-389-8.5-R,6.0,3010233
12471CST-389-9-R,6.0,3010258
12471CST-389-9.5-R,6.0,3010257
12473-007-10-R,6.0,999124922
12473-007-10.5-R,36.0,3973100
12473-007-11-R,4.0,4097871
12473-007-7-R,2.0,999124728
12475-007-10-R,6.0,3316084
12475-007-10.5-R,72.0,817722
12475-007-11-R,6.0,3316096
12475-007-5-R,6.0,2655275
